std_smiles,std_units,std_relation,std_values,inchi_key
CC(Cc1cccc(CC(=O)NCc2c(F)cccc2Cl)c1)NCC(O)c1ccc(O)c(CO)c1,ucm/s,=,1.0,NQVMGLYGFGYGNF-UHFFFAOYSA-N
CC(Cc1cccc(CC(=O)NCc2cc(C(F)(F)F)ccc2F)c1)NCC(O)c1ccc(O)c(CO)c1,ucm/s,=,2.0,SKXGMLMLOXYJKI-UHFFFAOYSA-N
CC(Cc1cccc(CC(=O)NCc2ccc(Cl)c(Cl)c2)c1)NCC(O)c1ccc(O)c(CO)c1,ucm/s,=,1.0,AOJZKEWJJYTGIX-UHFFFAOYSA-N
CC(Cc1cccc(CC(=O)NCc2cc(Cl)cc(Cl)c2)c1)NCC(O)c1ccc(O)c(CO)c1,ucm/s,=,1.0,RQMJXRIKISIBQH-UHFFFAOYSA-N
COc1cccc(-c2cccc(C3(c4ccncc4)N=C(C)C(N)=N3)c2)c1,ucm/s,=,40.0,JGYNJPZQUBJSBG-UHFFFAOYSA-N
COc1ccc(C2(c3cccc(-c4cncnc4)c3)N=C(C)C(N)=N2)cc1C,ucm/s,=,19.0,GWWAWENWSRQRAM-UHFFFAOYSA-N
CC#Cc1cncc(-c2cc(C3(C4CC4)N=C(C)C(N)=N3)ccc2O)c1,ucm/s,=,2.0,AHRMUGFBTQOUNO-UHFFFAOYSA-N
COc1c(C)cc(C2(c3cccc(-c4cncnc4)c3)N=C(C)C(N)=N2)cc1C,ucm/s,=,28.0,PZSMDBYYYKPYFV-UHFFFAOYSA-N
CC1=NC(Cc2ccccc2)(c2cccc(-c3cncnc3)c2)N=C1N,ucm/s,=,31.0,JZSBGJKGAXFRFW-UHFFFAOYSA-N
CC1(c2cccc(-c3cccnc3)c2)N=C(N)C(c2ccccc2)=N1,ucm/s,=,46.0,QCKWDUXMUOHHDA-UHFFFAOYSA-N
COc1cccc(-c2cccc(C3(C4CCOCC4)N=C(C)C(N)=N3)c2)c1,ucm/s,=,22.0,INFFTYDAVRHZHS-UHFFFAOYSA-N
COc1ccc(C2(c3cccc(-c4cccnc4)c3)N=C(C)C(N)=N2)cc1,ucm/s,=,28.0,PHOHQSLNKFJNQU-UHFFFAOYSA-N
CC#Cc1cncc(-c2cccc(C3(C4CC4)N=C(C)C(N)=N3)c2)c1,ucm/s,=,27.0,TWHSRVVFCICXII-UHFFFAOYSA-N
CC1=NC(C)(c2cccc(-c3cccnc3)c2)N=C1N,ucm/s,=,30.0,GGFQOAKBKNUHNP-UHFFFAOYSA-N
CC(C)C1=NC(C)(c2cccc(-c3cccnc3)c2)N=C1N,ucm/s,=,38.0,ZDXVBHMGBXHWOR-UHFFFAOYSA-N
CC(C)C1=NC(c2ccccc2)(c2cccc(-c3cncnc3)c2)N=C1N,ucm/s,=,30.0,JBCUFKPVMAMCAR-UHFFFAOYSA-N
COc1ccc(C2(c3cccc(-c4cncnc4)c3)N=C(N)C(C(C)C)=N2)cc1,ucm/s,=,30.0,SFBOKXSMKXLXQE-UHFFFAOYSA-N
CC1=NC(c2ccc(F)cc2)(c2cccc(-c3cccnc3)c2)N=C1N,ucm/s,=,41.0,PXUUVOWXCHBBOB-UHFFFAOYSA-N
COc1c(C)cc(C2(c3cccc(-c4cncnc4)c3)N=C(C)C(N)=N2)cc1C,ucm/s,=,21.0,PZSMDBYYYKPYFV-UHFFFAOYSA-N
COc1c(C)cc(C2(c3cccc(-c4cncnc4)c3)N=C(C)C(N)=N2)cc1C,ucm/s,=,22.0,PZSMDBYYYKPYFV-UHFFFAOYSA-N
CC#Cc1cncc(-c2cccc(C3(c4cc(C)c(OC)c(C)c4)N=C(C)C(N)=N3)c2)c1,ucm/s,=,12.0,KQOKXSWNRISXBF-UHFFFAOYSA-N
CC1=NC(c2cccc(-c3cccnc3)c2)(C2CCCCC2)N=C1N,ucm/s,=,41.0,LQZWYEXWILDROH-UHFFFAOYSA-N
COc1cccc(-c2cccc(C3(C4CCN(C(C)=O)CC4)N=C(C)C(N)=N3)c2)c1,ucm/s,=,3.0,YPIBLSYFISDICP-UHFFFAOYSA-N
COc1ccc(C2(c3cccc(-c4cncnc4)c3)N=C(C)C(N)=N2)cc1,ucm/s,=,21.0,UMLMJLPXSRDUHS-UHFFFAOYSA-N
CC#Cc1ccnc(-c2cc(C3(C4CC4)N=C(C)C(N)=N3)ccc2O)c1,ucm/s,=,19.0,FXVJITQJGQEANW-UHFFFAOYSA-N
COc1cccc(-c2cccc(C3(C)N=C(C)C(N)=N3)c2)c1,ucm/s,=,34.0,BEYGOLPVUQKUTI-UHFFFAOYSA-N
CC1=NC(c2cccc(-c3cncc(Cl)c3)c2)(C2CC2)N=C1N,ucm/s,=,57.0,BASHYZBACCLMHK-UHFFFAOYSA-N
Cc1cc(-c2nc(N)[nH]c(=O)c2Cl)cc(C#N)c1OCC1CCOC1,ucm/s,=,2.1,ZDJBPXJWRNMOPO-UHFFFAOYSA-N
Nc1nc(-c2ccc(OCC3CCOC3)c(C(F)(F)F)c2)c(Cl)c(=O)[nH]1,ucm/s,=,8.4,CMUSWEIFTDZTPG-UHFFFAOYSA-N
N#Cc1c(-c2ccc(OCC3CCOC3)c(OC(F)(F)F)c2)nc(N)[nH]c1=O,ucm/s,=,0.1,FADPDBVYABDBQI-UHFFFAOYSA-N
CC(C)COc1ccc(-c2nc(N)[nH]c(=O)c2Cl)cc1C#N,ucm/s,=,5.7,ZYEAQYVCQUGMBF-UHFFFAOYSA-N
Nc1nc(-c2ccc(OCC3CCOC3)c(OC(F)(F)F)c2)c(Cl)c(=O)[nH]1,ucm/s,=,6.4,AUDBGOIKEKOXPO-UHFFFAOYSA-N
CC(C)COc1ccc(-c2nc(N)[nH]c(=O)c2C#N)cc1C(F)(F)F,ucm/s,=,1.7,GZDXGHPRJHFTAV-UHFFFAOYSA-N
N#Cc1cc(-c2nc(N)[nH]c(=O)c2Cl)ccc1OCC1CCOC1,ucm/s,=,0.2,GCYNRWVFAFUJBO-UHFFFAOYSA-N
CC(C)COc1ccc(-c2nc(N)[nH]c(=O)c2C#N)cc1C#N,ucm/s,=,0.1,JCEKKTBKLGCDMM-UHFFFAOYSA-N
